ID,First Added,First Listed,Object Type,Image
1,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/0/01/RegularBlock01.png/revision/latest?cb=20160604070948
2,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/6/6c/GridBlock02.png/revision/latest?cb=20160515081423
3,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/c/c3/GridBlock03.png/revision/latest?cb=20160515081423
4,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/a/a3/GridBlock04.png/revision/latest?cb=20160515081423
5,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/4/4e/GridBlock05.png/revision/latest?cb=20160515081424
6,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/c/c1/GridBlock07.png/revision/latest?cb=20160515081424
7,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/c/cb/GridBlock08.png/revision/latest?cb=20160515081424
8,1.0,1.0,Hazard,https://static.wikia.nocookie.net/geometry-dash/images/8/8a/RegularSpike01.png/revision/latest?cb=20160604071118
9,1.0,1.0,Hazard,https://static.wikia.nocookie.net/geometry-dash/images/c/c4/ThornPit01.png/revision/latest?cb=20160705135205
10,1.0,1.0,Portal,https://static.wikia.nocookie.net/geometry-dash/images/0/0e/GravityPortalBLabelled.png/revision/latest?cb=20240127182555
11,1.0,1.0,Portal,https://static.wikia.nocookie.net/geometry-dash/images/0/00/GravityPortalALabelled.png/revision/latest?cb=20240127182626
12,1.0,1.0,Portal,https://static.wikia.nocookie.net/geometry-dash/images/b/bf/CubePortalLabelled.png/revision/latest?cb=20240126172523
13,1.0,1.0,Portal,https://static.wikia.nocookie.net/geometry-dash/images/4/4a/ShipPortalLabelled.png/revision/latest?cb=20240126171032
14,Never,Never,N/A,
15,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/d/d6/Beacon01.png/revision/latest?cb=20240201160820
16,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/0/08/Beacon02.png/revision/latest?cb=20240201160852
17,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/6/60/Beacon03.png/revision/latest?cb=20240201160925
18,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/3/3e/ThornGroundDecor01.png/revision/latest?cb=20160904085352
19,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/9/9c/ThornGroundDecor02.png/revision/latest?cb=20160904085353
20,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/c/cb/ThornGroundDecor03.png/revision/latest?cb=20160904085353
21,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/f/f8/ThornGroundDecor04.png/revision/latest?cb=20160904085353
22,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/7/72/TransitionTrigger01.png/revision/latest?cb=20240120164547
23,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/2/26/TransitionTrigger03.png/revision/latest?cb=20240120165021
24,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/7/7b/TransitionTrigger02.png/revision/latest?cb=20240120164858
25,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/3/39/TransitionTrigger04.png/revision/latest?cb=20240128171647
26,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/3/3d/TransitionTrigger05.png/revision/latest?cb=20240128172511
27,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/0/01/TransitionTrigger06.png/revision/latest?cb=20240128172559
28,1.0,1.3,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/2/2d/TransitionTrigger07.png/revision/latest?cb=20240128172611
29,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/f/fe/ColourTrigger.png/revision/latest?cb=20240201150059
30,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/f/fe/ColourTrigger.png/revision/latest?cb=20240201150059
31,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/f/f9/StartPosition.png/revision/latest?cb=20240128215032
32,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/2/21/TrailEnableTrigger.png/revision/latest?cb=20240128173552
33,1.0,1.0,Trigger,https://static.wikia.nocookie.net/geometry-dash/images/9/91/TrailDisableTrigger.png/revision/latest?cb=20240128173543
34,1.0,Never,Block,https://static.wikia.nocookie.net/geometry-dash/images/f/f9/StartPosition.png/revision/latest?cb=20240128215032
35,1.0,1.0,Pad,https://static.wikia.nocookie.net/geometry-dash/images/3/32/YellowJumpPad.png/revision/latest?cb=20240126222400
36,1.0,1.0,Orb,https://static.wikia.nocookie.net/geometry-dash/images/1/12/YellowJumpRing.png/revision/latest?cb=20240127012213
37,Never,Never,N/A,
38,Never,Never,N/A,
39,1.0,1.0,Hazard,https://static.wikia.nocookie.net/geometry-dash/images/3/3b/RegularSpike02.png/revision/latest?cb=20160603071759
40,1.0,1.0,Block,https://static.wikia.nocookie.net/geometry-dash/images/d/d4/RegularPlatform01.png/revision/latest?cb=20160520162208
41,1.0,1.0,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/e/e8/ChainDecor01.png/revision/latest?cb=20160924092442
42,1.0,Never,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/3/38/BackgroundEffectOffTrigger.png/revision/latest?cb=20240201151501
43,1.0,Never,Decoration,https://static.wikia.nocookie.net/geometry-dash/images/a/ad/BackgroundEffectOnTrigger.png/revision/latest?cb=20240201151508
44,Never,Never,N/A,https://static.wikia.nocookie.net/geometry-dash/images/b/b6/Checkpoint.png/revision/latest?cb=20240115141648
45,1.02,1.1,Portal,https://static.wikia.nocookie.net/geometry-dash/images/e/e7/MirrorPortalA.png/revision/latest?cb=20240126204202
46,1.02,1.1,Portal,https://static.wikia.nocookie.net/geometry-dash/images/f/f0/MirrorPortalB.png/revision/latest?cb=20240126204254
47,1.11,1.2,Portal,https://static.wikia.nocookie.net/geometry-dash/images/f/f7/BallPortalLabelled.png/revision/latest?cb=20240126154638
